127.0.0.1 - - [31/May/2023:08:54:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/May/2023:08:54:06 +0900] "GET /board/index.action HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [31/May/2023:08:54:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/watchapedia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/view/main.action HTTP/1.1" 200 164465
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EA%B4%91%EA%B3%A0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EC%9D%B8%EC%96%B4%EA%B3%B5%EC%A3%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EA%B4%91%EA%B3%A01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EB%B6%84%EB%85%B8%EC%9D%98%EC%A7%88%EC%A3%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EB%B2%94%EC%A3%84%EB%8F%84%EC%8B%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EA%B0%80%EB%94%94%EC%96%B8%EC%A6%88%EC%98%A4%EB%B8%8C%EA%B0%A4%EB%9F%AD%EC%8B%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EB%82%A8%EC%9D%80%EC%9D%B8%EC%83%9D10%EB%85%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EB%8F%99%EC%9B%90.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [31/May/2023:08:55:09 +0900] "GET /watcha/resources/images/%EC%99%80%EC%B0%A8%ED%94%BC%EB%94%94%EC%95%84_%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 304 -
